,XIST_pos_female_normals,XIST_neg_male_normals,SARC,PAAD,THCA,LUAD,LIHC,LAML,LUSC,LGG,STAD,READ,DLBC,GBM,COAD,TGCT-NS,PRAD,ESCA,KIRC,PCPG,UVM,BRCA,ACC,BLCA,TGCT-S,KICH,HNSC,TGCT-U,KIRP,SKCM,THYM,MESO,CHOL
ENSG00000198908.11,2.510357882,2.548694792,2.359339066,1.64137611,2.482024305,1.774022491,0.997056859,0.80491123,2.297834291,5.981062302,1.443104287,1.722351851,0.246000122,5.435380753,1.527188255,8.455101122,3.01399552,1.927566272,1.830611172,5.326874259,1.531218679,1.905995371,1.499061371,2.128403763,4.12796588,1.415327022,1.49234552,7.290915595,1.559867608,1.683084936,2.851146352,2.273666692,1.520993886
ENSG00000126756.11,130.7320703,120.3758204,208.8086964,146.4821752,144.9518666,133.1460388,113.4420967,118.2410797,151.9915371,108.2118303,145.6917882,218.6433953,276.8547596,158.6233858,214.2582863,170.5509137,150.934088,120.573636,139.757262,137.8989843,160.3016011,159.2651959,204.8600007,148.0425658,99.72234803,142.2218901,124.7013258,159.7973862,116.2821728,145.3032155,273.2197179,149.7926445,137.9172063
ENSG00000101892.11,0.099444987,0.208529794,0.351215857,0.002052586,0.016265435,0.002233432,0.001717274,0.291876067,0.003333268,0.024626558,0.00531297,0.001833293,0.019182077,0.082310195,0.002591844,0.01864697,0.110675766,0.002904715,0.003746181,0.002249948,0.000999989,0.000999989,0.001967723,0.001576243,0.001491775,0.024243063,0.43544645,0.000999989,0.00274525,0.004314993,0.015354725,0.027901559,0.000999989
ENSG00000130119.15,5.271418419,5.359698,5.101744344,4.951523038,3.363790182,5.976474018,2.042136924,31.03847128,7.554642323,4.755296555,19.48202565,8.447486707,6.543343309,4.463935896,8.28974772,5.957451531,4.300867706,22.60623661,4.856949714,3.136087486,3.000772061,8.431022136,2.365206111,5.059502371,7.039554791,3.682354772,7.527468894,8.160740119,3.874298052,9.03898699,3.275985588,4.959451084,4.911650177
ENSG00000101974.14,8.410045852,7.701189816,10.43860243,5.96178257,4.3030682,6.923016053,8.035153441,10.98939286,7.883268491,4.509267029,6.892226095,8.186890375,6.672353593,5.188491671,7.415115518,22.48685347,7.155331592,9.611801997,11.05751439,4.587508372,2.690543413,8.639318245,4.297110271,8.133350826,43.84407019,5.483433433,6.136249101,39.24127467,7.781798236,6.717271217,6.8700149,14.59845639,4.710350642
ENSG00000101972.18,30.56490688,24.75466766,22.53811187,19.85834202,28.24142227,24.6651045,11.09134313,59.34505838,26.82263332,39.64081049,31.80355975,32.49468407,16.26317359,29.37938345,28.05478431,32.48769511,25.4672354,47.44840044,26.65391882,16.56188892,9.911060787,36.95676398,13.2352557,19.24998166,22.70293877,19.20707574,26.50402296,40.52105974,14.86724752,23.68931627,34.80569093,18.18066839,16.43794158
ENSG00000165169.10,23.81972417,26.49786436,29.58956084,28.30995749,17.92172726,20.49587054,15.98410288,8.568841586,34.26975314,11.21389542,24.72426956,26.81446646,7.06234059,24.40785091,21.11201102,12.7768241,16.63877059,35.18286102,23.90091333,41.25813596,4.897803773,37.56529692,27.4967538,25.71625026,7.594597113,43.44601766,27.61176621,19.82157916,12.65879994,20.06624238,12.65858451,15.9145553,20.22731201
ENSG00000198759.11,6.110167602,4.057944046,12.69272352,1.964253157,0.566945962,8.043523286,0.195757542,0.040347818,15.50755693,0.188279589,2.691382389,2.658810005,2.195553704,0.576365268,2.135839601,16.72447733,0.219663451,6.988476376,1.309399174,0.161307558,0.122589851,1.22766814,0.259710776,4.723720752,0.59264326,0.617477993,6.730608883,9.981108155,0.147416396,1.03645467,6.914244964,6.94807842,0.551622727
ENSG00000049769.12,3.543531646,3.708317678,8.114157747,4.086683788,8.03137107,3.667632281,2.86469014,1.831327579,2.777084304,16.10249556,1.659086816,1.40255941,2.076889233,8.900765057,1.46935797,4.381008279,4.117911789,2.206475322,2.835261585,15.0562632,4.173956655,3.282652829,3.990673907,3.31260388,0.771330525,3.354253759,2.763930468,3.880923513,5.772133084,4.380031328,7.133591689,7.213276996,6.655328944
ENSG00000182518.13,17.36751035,16.95590942,24.74112307,12.5922871,15.57888317,15.00829143,10.67156188,9.119725882,18.60059383,28.95200312,12.54632715,14.81237177,13.75835204,26.8307005,13.79676103,26.48767958,18.50027971,14.58767087,14.88535943,17.47731465,13.3757259,25.84277872,22.0652159,24.09120887,14.77905191,7.460738089,14.74288358,34.07165213,19.63778942,16.59975637,26.24419385,14.6556549,13.65731103
ENSG00000131080.14,1.848249733,1.262465552,4.025006432,0.928634364,5.18975757,1.143316018,0.464098909,3.074686894,0.438360701,3.07181548,0.516075946,0.514540487,0.389632201,4.052934406,0.560774555,3.333942919,1.117225055,0.460760671,6.115438536,3.523353086,2.769868896,1.937667562,4.260706202,0.810557548,2.068204316,1.583439812,0.357042122,7.530783656,3.926752689,4.01589418,3.118897168,4.154124148,2.052267085
ENSG00000102048.15,3.969641939,4.666438548,3.086578633,6.588601649,2.824558439,6.217380803,6.169222159,3.205140742,3.234410363,0.570517295,2.635117794,8.832333805,0.403726294,1.524227471,6.994163284,4.690445741,2.171721728,2.788615888,4.420118876,1.009768998,7.656241324,0.810169502,0.986809006,1.468161107,1.203229599,7.366427165,1.761368947,8.440918532,3.085194925,13.21891542,3.64355532,1.37100207,5.245398142
ENSG00000160219.11,2.06938539,1.512435081,3.087341617,1.813205029,2.297971384,2.00388783,0.541031999,32.85973515,1.301417935,1.931416268,1.601117351,0.692562519,3.34508575,3.09182395,0.732305448,1.196888903,0.598804425,1.160180666,2.565326392,0.927425872,0.389184291,0.84517197,1.290352863,0.715947415,2.785496476,0.395867367,0.903638245,2.560987125,1.552085718,1.248071215,3.216320189,1.864945342,0.940373569
ENSG00000156697.12,10.11689665,8.180180276,12.20186951,12.1071999,10.82931183,14.21518211,8.248322938,17.0342756,14.4569562,10.15347406,15.14699467,30.71181305,17.78747443,10.84553344,27.25636049,28.46377689,11.62271745,17.45281827,8.754115244,8.912019254,14.99282118,18.89439684,7.508399976,13.75534835,16.26525485,7.190790556,16.33411802,20.00099684,7.095812177,18.82787602,14.49198108,14.70359909,15.36295722
