,XIST_pos_female_normals,XIST_neg_male_normals,SARC,PAAD,THCA,LUAD,LIHC,LAML,LUSC,LGG,STAD,READ,DLBC,GBM,COAD,TGCT-NS,PRAD,ESCA,KIRC,PCPG,UVM,BRCA,ACC,BLCA,TGCT-S,KICH,HNSC,TGCT-U,KIRP,SKCM,THYM,MESO,CHOL
ENSG00000205667.2,0.090778078,0.039247209,0.014913084,0.067631688,0.035772772,0.148224552,0.003362825,0.003934793,0.120250048,0.005172456,0.073518981,0.063916592,0.001454519,0.006631001,0.089365819,0.043940889,0.189623449,0.07171365,0.002388027,0.003324486,0.031454524,0.121832373,0.001322558,0.073971763,0.005754056,0.009378401,0.043704491,0.030999742,0.002886782,0.045633704,0.014225783,0.009450618,0.055998947
ENSG00000158423.16,3.373360318,2.48752339,1.37077367,1.90372765,3.48709924,2.369455936,0.496707697,0.734695368,1.426058941,3.239396699,0.901917118,0.832667475,0.568272065,5.122147348,0.864139637,3.720434515,2.358029756,0.843448246,2.742583024,2.245886103,0.838044487,3.323483238,2.106496378,1.300008007,3.789105332,0.997489127,0.805762006,2.630979487,4.266712536,0.878456459,2.844861084,1.629446226,1.799740943
ENSG00000183862.5,0.002305517,0.001517213,0.002652122,0.001315768,0.001378765,0.004068971,0.001506326,0.001760838,0.006222082,0.001880258,0.003366369,0.000999989,0.001909059,0.005611609,0.00127777,0.029234701,0.001681482,0.00249655,0.002248738,0.001833324,0.000999989,0.047666341,0.001645128,0.002796566,0.00960645,0.084513984,0.001514493,0.000999989,0.001235831,0.001073247,0.004386993,0.003535226,0.000999989
ENSG00000183943.5,15.08660362,10.48732505,5.392841636,5.914308027,14.89005329,6.708250535,1.587312759,21.34691253,26.13356567,15.62353791,9.325563376,9.170892843,6.689593678,8.785451012,8.385668733,12.71279806,4.948555203,19.67033089,10.3357853,1.650999482,3.249403286,4.378509953,1.078733877,7.091576518,13.6480529,3.355568321,17.73787176,13.15099452,12.46198922,5.202957713,10.78037489,5.8970563,9.069795133
ENSG00000124486.12,21.5139545,17.95619602,21.06109052,17.09527356,16.34547754,17.74081118,12.22822843,37.15428655,17.6215968,20.14232617,25.099762,20.05775443,11.97058087,18.03317319,18.32481187,19.4778904,14.26227194,35.66996322,19.54058536,13.91941379,8.820337532,22.48680653,12.65225954,15.54345673,21.39749125,17.12881125,18.20446576,25.44129143,12.92577088,20.10963545,13.26781032,19.50869625,15.6927559
ENSG00000189221.9,82.61948061,77.019129,13.46757302,24.08421395,123.5576368,56.29543067,52.65118416,1.075889473,39.90083216,19.35411363,22.95912669,33.89473083,1.11327164,12.77102009,45.78461862,4.616333573,108.2823457,30.32752987,48.00147048,6.890639178,0.617585405,5.100223533,29.29135618,55.87970052,1.616012035,21.4646985,28.8990838,3.111046589,38.53143705,2.713396877,30.87321009,4.053818395,19.28906956
ENSG00000102387.15,0.103333501,0.178154874,0.354304149,0.08305243,0.071037859,0.651703848,0.10420667,0.098391449,0.263945336,0.147126825,0.122526934,0.093916068,0.043726805,0.287068763,0.109301475,0.862763444,0.134920402,0.124707588,0.143258156,0.121483449,0.089182063,0.212666935,0.329390629,0.308435433,0.228705765,1.867494508,1.118644289,0.540999813,0.094207432,1.062613376,0.67712469,0.140859491,0.141624867
ENSG00000046647.13,18.47618122,13.52296462,17.02930475,15.82798541,18.6755144,14.33487781,9.261043078,12.3919422,12.802039,19.17245066,11.68446135,19.37738091,18.23653154,19.77556933,17.97850992,16.60400257,16.56253673,11.85911339,18.06806217,14.96639585,17.42376198,20.77185332,13.04776773,16.91575796,10.81893337,11.49971202,11.98224701,17.73097543,16.88197375,14.97941965,17.89922179,17.01195095,20.44436402
ENSG00000169297.7,0.276945177,0.132753502,0.269343044,0.93694771,0.010356006,4.553627174,0.452391451,0.026869853,7.652904995,1.568994519,0.024931207,0.019437567,0.006909026,1.603490842,0.045016814,1.132758251,0.020935704,1.097691408,0.25751817,0.699856839,0.027818084,0.868496919,33.23281133,0.643035262,1.648212135,0.14154233,0.577916124,0.081001925,0.578027514,0.926092771,0.260513171,0.043394674,0.378511968
ENSG00000046651.14,19.10869566,12.08127249,16.3815749,19.60892876,23.52087437,17.81192252,7.710014233,30.15454245,17.76893696,15.48091409,13.66820013,22.20114057,17.86417662,14.74337989,18.13792411,24.1808329,23.27150131,16.45159323,17.33723585,12.96309521,4.860990773,23.39158281,11.8580989,23.60251116,25.50688306,13.30911717,13.16265996,23.29098906,17.3471971,10.13655636,25.04958496,15.40107211,22.31968464
ENSG00000130741.10,83.24295784,56.36541465,81.42029135,65.9963622,58.82083893,86.22538247,44.56486839,140.5397088,88.06471349,48.67869787,79.84507064,137.6197509,85.08188252,54.72338582,116.657286,109.431273,86.71255691,90.09873875,83.7861833,39.66453899,76.23731629,89.28960321,42.47157584,68.22069019,71.64247066,38.73668468,71.1970827,112.2444265,44.84843595,80.95155126,68.55189476,76.18969638,97.17709219
ENSG00000198034.10,1534.356067,798.8031036,1071.456306,889.8079808,1582.328572,1003.132947,498.3744529,1138.666994,1010.274191,781.0307057,946.0504693,1573.479534,1642.509801,799.4443807,1584.846186,1663.677674,1366.123175,944.9908605,904.2768507,781.5397221,2223.010154,1048.027388,644.2602952,924.3091181,2324.080401,708.2596303,881.1000304,1325.8483,574.3219612,1168.43269,1560.005949,1048.980693,1047.421773
