sample,chrX_non_escaping_promoter_CpG_islands_median_beta,autosome_median_beta,XIST_TPM,Classification,Secondary_Class
TCGA-EE-A183-06,0.044694515,0.083644987,0.000999989,SKCM,
TCGA-DX-A2IZ-01,0.035542423,0.061995164,0.141003219,SARC,
TCGA-EJ-7788-01,0.035942361,0.070070381,0.010999639,PRAD,
TCGA-AG-3592-01,0.036708571,0.058940039,0.000999989,READ,
TCGA-GR-7353-01,0.040056386,0.080125947,0.061001985,DLBC,
TCGA-L5-A8NH-01,0.034246038,0.0647927,0.000999989,ESCA,
TCGA-BP-4991-01,0.023160963,0.072903015,0.071001829,KIRC,
TCGA-BP-5200-01,0.03857962,0.064111033,0.000999989,KIRC,
TCGA-CC-5262-01,0.039265517,0.0783782,0.000999989,LIHC,
TCGA-MB-A5YA-01,0.03827554,0.059669358,0.000999989,SARC,
TCGA-OR-A5L6-01,0.035740589,0.061457678,0.371002291,ACC,
TCGA-CV-6441-01,0.043289585,0.075441068,0.081001925,HNSC,
TCGA-DX-A6B7-01,0.035982834,0.05349241,0.010999639,SARC,
TCGA-UB-A7MF-01,0.036570782,0.069775464,0.090999347,LIHC,
TCGA-G9-6361-01,0.039076154,0.072099919,0.030999742,PRAD,
TCGA-BQ-5882-01,0.037429793,0.073910763,0.000999989,KIRP,
TCGA-BQ-5887-01,0.038193541,0.067312813,0.000999989,KIRP,
TCGA-UZ-A9PM-01,0.03312056,0.050260848,0.090999347,KIRP,
TCGA-ZG-A9LY-01,0.031742743,0.055613207,0.010999639,PRAD,
TCGA-DH-A7UT-01,0.034934561,0.056511298,0.501006074,LGG,
TCGA-YL-A8SR-01,0.04331409,0.073070615,0.100998096,PRAD,
TCGA-66-2766-01,0.018158231,0.054399055,0.000999989,LUSC,
TCGA-S7-A7WM-01,0.041703383,0.054764313,0.361007321,PCPG,
TCGA-WB-A81Q-01,0.042383372,0.058475626,0.090999347,PCPG,
TCGA-ER-A195-06,0.038176756,0.071893054,0.010999639,SKCM,
TCGA-F2-6880-01,0.039501933,0.065187111,0.010999639,PAAD,
TCGA-HT-7481-01,0.038928196,0.071985404,0.100998096,LGG,
TCGA-CV-6933-01,0.040585256,0.06950443,0.000999989,HNSC,
TCGA-FD-A3B5-01,0.036911746,0.057419055,0.361007321,BLCA,
TCGA-EM-A22Q-01,0.02920572,0.052159576,0.000999989,THCA,
TCGA-22-A5C4-01,0.039590333,0.06096822,0.431012017,LUSC,
TCGA-EJ-5507-01,0.035226685,0.061515154,0.000999989,PRAD,
TCGA-G9-6494-01,0.044720338,0.078290634,0.130996484,PRAD,
TCGA-IG-A50L-01,0.032814581,0.059535533,0.020999518,ESCA,
TCGA-3U-A98I-01,0.039157773,0.065247572,0.100998096,MESO,
TCGA-77-A5G3-01,0.038007511,0.060491744,0.010999639,LUSC,
TCGA-CN-A6V6-01,0.035055948,0.063239934,0.220997201,HNSC,
TCGA-DK-A3IU-01,0.040544299,0.073609651,0.000999989,BLCA,
TCGA-CE-A3MD-01,0.042952625,0.066121347,0.220997201,THCA,
TCGA-VN-A88L-01,0.043156169,0.067325542,0.171003766,PRAD,
TCGA-CS-6670-01,0.044722621,0.080884862,0.000999989,LGG,
TCGA-28-5216-01,0.036242492,0.058039155,0.660989839,GBM,
TCGA-HW-7490-01,0.036378199,0.06911991,0.350989554,LGG,
TCGA-85-8353-01,0.040542859,0.078885947,0.020999518,LUSC,
TCGA-95-7944-01,0.073591296,0.108839095,0.000999989,LUAD,
TCGA-EE-A29G-06,0.050003871,0.083355726,0.000999989,SKCM,
TCGA-KK-A8IH-01,0.037686837,0.062450778,0.121001765,PRAD,
TCGA-MB-A8JK-01,0.033440758,0.052075022,0.090999347,SARC,
TCGA-B2-3923-01,0.021226383,0.068429744,0.221004791,KIRC,
TCGA-CR-6487-01,0.057449784,0.108188729,0.030999742,HNSC,
TCGA-YL-A8SJ-01,0.033101822,0.059015646,0.010999639,PRAD,
TCGA-MQ-A6BS-01,0.039268148,0.066878931,0.141003219,MESO,
TCGA-EJ-7792-01,0.037183839,0.06633399,0.030999742,PRAD,
TCGA-EP-A12J-01,0.044238214,0.080534469,0.000999989,LIHC,
TCGA-MQ-A6BL-01,0.04265675,0.074523854,0.061001985,MESO,
TCGA-55-A4DF-01,0.08234878,0.117753983,0.061001985,LUAD,
TCGA-KC-A7FD-01,0.040347977,0.070066375,0.000999989,PRAD,
TCGA-FS-A1ZY-06,0.040604167,0.059713015,0.010999639,SKCM,
TCGA-BF-A5ER-01,0.042236383,0.073199047,0.000999989,SKCM,
TCGA-BP-5198-01,0.037442918,0.067274836,0.000999989,KIRC,
TCGA-60-2722-01,0.016018865,0.059192305,0.000999989,LUSC,
TCGA-CV-6943-01,0.038515695,0.092275271,0.000999989,HNSC,
TCGA-IA-A83T-01,0.045993591,0.072800828,0.000999989,KIRP,
TCGA-FD-A6TA-01,0.0399814,0.067129936,0.041000917,BLCA,
TCGA-85-8071-01,0.033430944,0.056004628,0.030999742,LUSC,
TCGA-2Y-A9HB-01,0.044066308,0.07895165,0.010999639,LIHC,
TCGA-DA-A1I0-06,0.039926541,0.067877225,0.000999989,SKCM,
