sample,chrX_non_escaping_promoter_CpG_islands_mean_beta,autosome_mean_beta,XIST_TPM,Classification,Secondary_Class
TCGA-61-1721-01,0.410388737,0.043544004,24.67024264,OV,
TCGA-AB-2878-03,0.458481704,0.05782273,181.4338709,LAML,
TCGA-DX-A1L3-01,0.401904783,0.060109885,48.74221811,SARC,
TCGA-CF-A1HS-01,0.371220054,0.09344052,36.67182095,BLCA,
TCGA-61-2088-01,0.574793315,0.045269868,462.7855473,OV,
TCGA-43-2581-01,0.31126163,0.075098886,8.160740119,LUSC,
TCGA-DU-A6S7-01,0.398229506,0.083377872,119.8677709,LGG,
TCGA-EA-A3QE-01,0.451138396,0.106119182,90.37175283,CESC,
TCGA-AO-A0J9-01,0.402125268,0.076056641,91.43027157,BRCA,
TCGA-AR-A24L-01,0.279788753,0.081878433,75.77237168,BRCA,
TCGA-CJ-4886-01,0.441622266,0.066872226,63.54910932,KIRC,
TCGA-GR-A4D6-01,0.346275169,0.097059666,87.63285766,DLBC,
TCGA-AX-A05W-01,0.489464112,0.065297396,71.45187673,UCEC,
TCGA-13-0885-01,0.408600251,0.069985998,16.530976,OV,
TCGA-DX-A6YQ-01,0.280842269,0.071942618,11.85069693,SARC,
TCGA-EW-A6S9-01,0.414406934,0.069201227,138.2178373,BRCA,
TCGA-CN-6996-01,0.46630538,0.098850839,29.65081798,HNSC,
TCGA-GM-A5PX-01,0.413919307,0.075376073,216.2715373,BRCA,
TCGA-W2-A7HD-01,0.192125269,0.047398266,302.2712592,PCPG,
TCGA-C5-A3HF-01,0.404319338,0.084039113,79.37979877,CESC,
TCGA-PC-A5DN-01,0.412158883,0.063746728,162.9403385,SARC,
TCGA-AB-2930-03,0.433894047,0.072260579,572.0906676,LAML,
TCGA-98-A53C-01,0.371734216,0.08741885,183.5971686,LUSC,
TCGA-C5-A7CK-01,0.342575924,0.103754528,37.43977864,CESC,
TCGA-HT-7607-01,0.390329298,0.0904901,75.43175045,LGG,
TCGA-EM-A3SZ-01,0.457961375,0.07169189,155.4384921,THCA,
TCGA-BQ-7061-01,0.455511207,0.074599126,64.91140147,KIRP,
TCGA-A8-A093-01,0.361443482,0.068690637,43.67088915,BRCA,
TCGA-HT-A5R5-01,0.381823968,0.076646958,54.51192642,LGG,
TCGA-SA-A6C2-01,0.230074289,0.057282598,110.1175037,PCPG,
TCGA-FS-A1ZG-06,0.181131813,0.071887246,18.33082738,SKCM,
TCGA-Y8-A894-01,0.399959944,0.052230444,258.0130094,KIRP,
TCGA-25-1319-01,0.392815693,0.041129539,15.38124096,OV,
TCGA-AC-A8OS-01,0.45608217,0.077862605,197.2798777,BRCA,
TCGA-37-4129-01,0.314110896,0.053906844,165.1919988,LUSC,
TCGA-AR-A24S-01,0.334676043,0.074630187,87.46294369,BRCA,
TCGA-B8-5552-01,0.420238144,0.082836947,74.65153394,KIRC,
TCGA-IF-A3RQ-01,0.226338109,0.074653862,11.96128101,SARC,
TCGA-25-2400-01,0.410278885,0.045469745,10.45122393,OV,
TCGA-FW-A5DY-06,0.386472773,0.107103371,95.88279106,SKCM,
TCGA-EA-A1QS-01,0.442163011,0.070638153,141.9166451,CESC,
TCGA-BP-4987-01,0.395614734,0.07394791,132.0920656,KIRC,
TCGA-44-3398-01,0.422912234,0.070371569,51.96253826,LUAD,
TCGA-ZP-A9D4-01,0.279369179,0.06377073,61.23989907,LIHC,
TCGA-EL-A4K4-01,0.319908478,0.059528466,43.06965912,THCA,
TCGA-95-7948-01,0.399358099,0.105143072,127.4599332,LUAD,
TCGA-VS-A9UO-01,0.210622198,0.064221812,36.3302654,CESC,
TCGA-ZJ-A8QO-01,0.387895316,0.06923618,154.8685084,CESC,
TCGA-91-8496-01,0.450091151,0.091664002,32.49171523,LUAD,
TCGA-AO-A0JD-01,0.329479252,0.072006146,26.30016599,BRCA,
TCGA-UE-A6QU-01,0.380258798,0.079758753,12.03112795,SARC,
TCGA-FB-A545-01,0.334961091,0.072480658,79.41832344,PAAD,
TCGA-J8-A4HW-09,0.373038055,0.060721502,233.3515822,THCA,
TCGA-HS-A5N8-01,0.225625428,0.068800744,67.2797295,SARC,
TCGA-D3-A3MV-06,0.238676897,0.06428292,10.78085729,SKCM,
TCGA-MY-A5BE-01,0.455268954,0.099813594,142.1135198,CESC,
TCGA-FU-A3TX-01,0.479653597,0.071741698,236.746617,CESC,
TCGA-AZ-5407-01,0.408601444,0.085200718,17.65126898,COAD,
TCGA-JW-A852-01,0.451231144,0.088100721,145.8154723,CESC,
TCGA-61-1724-01,0.466328252,0.04931406,79.11064887,OV,
TCGA-GM-A2DD-01,0.375769955,0.11643272,60.24209344,BRCA,
TCGA-A2-A0EW-01,0.318985473,0.075482343,113.040818,BRCA,
TCGA-61-2113-01,0.388995308,0.057349994,46.60135504,OV,
TCGA-X7-A8D7-01,0.409448293,0.064861678,550.5386347,THYM,
TCGA-FD-A5BY-01,0.425003763,0.080398035,100.768436,BLCA,
TCGA-DE-A69J-01,0.406183195,0.062189725,232.6310725,THCA,
TCGA-VS-AA62-01,0.430063566,0.081847484,134.1589972,CESC,
TCGA-WC-A882-01,0.380968103,0.052740192,4.660872345,UVM,
TCGA-QR-A70A-01,0.29132516,0.057916039,468.4658264,PCPG,
TCGA-B6-A40C-01,0.455659433,0.064898187,185.9795263,BRCA,
TCGA-QS-A5YR-01,0.43123524,0.06252424,346.2811391,UCEC,
TCGA-D8-A1JB-01,0.368263226,0.081924151,54.84164724,BRCA,
TCGA-BH-A0AW-01,0.432870093,0.081278384,15.05113105,BRCA,
TCGA-BH-A0BA-01,0.316230885,0.09648614,37.59059901,BRCA,
TCGA-D3-A3C6-06,0.192057166,0.062301016,3.100927939,SKCM,
TCGA-DJ-A2Q6-01,0.375089578,0.070399088,194.6717863,THCA,
TCGA-S4-A8RO-01,0.486005656,0.081814239,390.0188386,PAAD,
TCGA-OL-A6VR-01,0.440571092,0.074086736,123.2206294,BRCA,
TCGA-IB-AAUW-01,0.377293689,0.065637498,110.5227841,PAAD,
TCGA-DX-A7EL-01,0.445058677,0.072382559,65.6717047,SARC,
TCGA-FE-A230-01,0.258630131,0.064240048,37.33094178,THCA,
TCGA-AR-A5QN-01,0.437418884,0.106715565,137.1489722,BRCA,
TCGA-29-1698-01,0.182927669,0.048306851,5.441106248,OV,
TCGA-EY-A1GX-01,0.481360853,0.054038373,238.6909405,UCEC,
TCGA-DG-A2KL-01,0.391445295,0.073916057,109.069204,CESC,
