sample,median_of_rounded_avg_modal_copies_per_chr,median_of_unrounded_avg_modal_copies_per_chr
TCGA-23-1029-01,2,1.988506747
TCGA-PC-A5DO-01,2,1.850659724
TCGA-IG-A625-01,2,2.001571476
TCGA-EY-A5W2-01,2,2
TCGA-GL-A9DD-01,2,2
TCGA-D7-6818-01,2,2.148058075
TCGA-A6-A566-01,2,2
TCGA-AX-A3G9-01,2,2
TCGA-GJ-A6C0-01,2,1.984962689
TCGA-61-1737-01,2,1.91055654
TCGA-B3-4103-01,2,2
TCGA-EM-A3OB-01,2,2
TCGA-L3-A4E7-01,2,1.843099441
TCGA-DD-A73F-01,2,2.005228484
TCGA-2G-AAGT-01,2,2.01629359
TCGA-HZ-A8P0-01,2,1.999030725
TCGA-AA-A00L-01,2,2
TCGA-D1-A17M-01,2,2
TCGA-D1-A3JQ-01,2,1.897251887
TCGA-AA-3495-01,2,2
TCGA-CZ-5459-01,2,2
TCGA-04-1331-01,2,1.932144552
TCGA-Z6-A9VB-01,2,1.99987537
TCGA-HW-7490-01,2,2
TCGA-32-1977-01,2,2
TCGA-D7-A747-01,2,2.006385332
TCGA-BS-A0V4-01,2,2
TCGA-BP-4799-01,2,2
TCGA-D3-A1Q8-01,2,2
TCGA-A3-3383-01,2,2
TCGA-EJ-5530-01,2,2
TCGA-ZG-A8QZ-01,2,1.989544633
TCGA-04-1519-01,2,2
TCGA-B0-4691-01,2,2
TCGA-HC-A8D1-01,2,2
TCGA-OL-A66P-01,2,2.003841596
TCGA-27-1830-01,2,2
TCGA-EL-A3D1-01,2,2
TCGA-EJ-7318-01,2,1.999636943
TCGA-HC-8264-01,2,1.998593089
TCGA-E7-A7XN-01,2,2
TCGA-MR-A520-01,2,2
TCGA-5P-A9JW-01,2,2
TCGA-CV-7414-01,2,1.999488451
TCGA-FD-A3B7-01,2,2.086095985
TCGA-VT-A80J-01,2,1.556714305
TCGA-BR-6706-01,2,2
TCGA-HC-7078-01,2,1.999319411
TCGA-ZB-A96I-01,2,2
TCGA-HC-8260-01,2,2
TCGA-E9-A1NC-01,2,1.826165382
TCGA-B6-A0IG-01,2,2
TCGA-77-8008-01,2,2
TCGA-DX-A6Z2-01,2,2
TCGA-A8-A07E-01,2,2
TCGA-J4-A6G1-01,2,2
TCGA-EM-A2CP-01,2,2
TCGA-FY-A3TY-01,2,2
TCGA-DU-5849-01,2,2
TCGA-ET-A3BW-01,2,2
TCGA-08-0244-01,2,2
TCGA-BQ-7060-01,2,2
TCGA-AA-3664-01,2,2
TCGA-AP-A1DK-01,2,2
TCGA-3H-AB3T-01,2,1.969565845
TCGA-2Y-A9HA-01,2,2
TCGA-KP-A3W0-01,2,2.000376304
TCGA-E2-A15L-01,2,2
TCGA-AA-A01I-01,2,2
TCGA-FG-A4MT-02,2,2
TCGA-AJ-A8CV-01,2,2
TCGA-CV-6960-01,2,1.860330492
TCGA-AA-A01K-01,2,1.997995572
TCGA-BT-A3PK-01,2,2
TCGA-DJ-A3VI-01,2,2
TCGA-23-2079-01,2,2.252405384
TCGA-BH-A0HA-01,2,2
TCGA-EB-A5SG-06,2,1.956625813
TCGA-ZJ-AAXA-01,2,2.25767705
TCGA-32-2634-01,2,1.998862523
TCGA-AX-A06F-01,2,2
TCGA-ER-A19L-06,2,1.986216348
TCGA-VN-A88O-01,2,2
TCGA-BS-A0WQ-01,2,2
TCGA-B0-5104-01,2,2
TCGA-EL-A3CV-01,2,2
TCGA-IN-A6RS-01,2,2.002549639
TCGA-P3-A6SX-01,2,2
TCGA-02-0075-01,2,2
TCGA-TM-A7C5-01,2,2
TCGA-EJ-A6RA-01,2,2
TCGA-D3-A3CF-01,2,2
TCGA-G9-6332-01,2,2
TCGA-F6-A8O3-01,2,2
TCGA-RY-A845-01,2,2
TCGA-DE-A4MA-01,2,2
TCGA-WW-A8ZI-01,2,1.957881083
TCGA-21-1070-01,2,1.584705236
TCGA-ER-A3ET-06,2,2.280592786
TCGA-AA-3529-01,2,2
TCGA-J4-A67M-01,2,2
TCGA-B0-4842-01,2,2
TCGA-B8-A54E-01,2,2
TCGA-AG-A016-01,2,2
TCGA-LN-A49Y-01,2,1.996115601
TCGA-B0-4690-01,2,2
TCGA-GN-A263-01,2,2
TCGA-XU-A933-01,2,2
TCGA-P5-A730-01,2,2
TCGA-EM-A3FQ-01,2,2
TCGA-ER-A19O-01,2,2
TCGA-02-0325-01,2,2
TCGA-GH-A9DA-01,2,2
TCGA-EB-A5SF-01,2,1.999065882
TCGA-EJ-8469-01,2,2
TCGA-85-7698-01,2,1.989270172
TCGA-DA-A1IB-06,2,2
TCGA-AC-A2B8-01,2,2
TCGA-3G-AB0O-01,2,2
TCGA-A2-A04U-01,2,2.484978964
TCGA-44-7661-01,2,2
TCGA-GN-A26C-01,2,2.048527907
TCGA-CN-A49C-01,2,2
TCGA-2Z-A9JP-01,2,2
TCGA-TP-A8TT-01,2,1.96641011
TCGA-56-A5DS-01,2,2
TCGA-HC-A6AN-01,2,1.999045903
TCGA-CM-6170-01,2,1.995066991
TCGA-06-6697-01,2,2
TCGA-G7-6796-01,2,2
TCGA-BG-A0MO-01,2,2
TCGA-BS-A0VI-01,2,2
TCGA-D5-6536-01,2,2
TCGA-EL-A3CM-01,2,2
TCGA-AJ-A2QK-01,2,1.783100369
TCGA-VN-A88N-01,2,2
TCGA-DX-A8BZ-01,2,1.760316539
TCGA-06-0124-01,2,2
TCGA-A7-A26E-01,2,2
TCGA-3E-AAAZ-01,2,2
TCGA-06-0140-01,2,2
TCGA-CQ-6227-01,2,2
TCGA-BA-5558-01,2,2
TCGA-EM-A2CJ-01,2,2
TCGA-DW-7836-01,2,2
TCGA-HT-7687-01,2,2
TCGA-DD-A1EK-01,2,2.000717466
TCGA-SC-AA5Z-01,2,2.002718208
TCGA-02-0290-01,2,2
TCGA-EM-A2CT-01,2,2
TCGA-A5-A0GU-01,2,2
TCGA-BP-4325-01,2,2
TCGA-FS-A1ZT-06,2,2
TCGA-02-0064-01,2,2
TCGA-A8-A08T-01,2,2
TCGA-KR-A7K0-01,2,2
TCGA-ZG-A8QX-01,2,1.998934874
TCGA-BH-A28O-01,2,2
TCGA-EB-A41B-01,2,1.999309194
TCGA-EL-A3N3-01,2,2
TCGA-CV-A6JY-01,2,2
TCGA-DA-A1I4-01,2,2
TCGA-39-5021-01,2,2
TCGA-MA-AA3Y-01,2,2
TCGA-RP-A690-01,2,2
TCGA-G9-6356-01,2,2
TCGA-KM-8439-01,2,2
TCGA-ZG-A9L1-01,2,2.005242566
TCGA-BH-A18V-06,2,1.623407267
TCGA-QA-A7B7-01,2,1.99776007
TCGA-BH-A0BO-01,2,2
TCGA-BP-4334-01,2,2
TCGA-90-7964-01,2,1.999692537
TCGA-DX-A7ET-01,2,2.23275857
TCGA-BH-A0H3-01,2,2
TCGA-CG-5733-01,2,2
TCGA-61-1998-01,2,2.000875438
TCGA-DJ-A2PO-01,2,2
TCGA-06-0127-01,2,2
TCGA-RW-A689-01,2,2
TCGA-FS-A1ZQ-06,2,1.788295582
TCGA-W3-A828-06,2,2
TCGA-BR-7958-01,2,2
TCGA-AR-A2LE-01,2,2
TCGA-EJ-7328-01,2,2
TCGA-BB-7872-01,2,2
TCGA-AG-4021-01,2,1.99879086
TCGA-FX-A3NJ-01,2,2
TCGA-AB-2950-03,2,2
TCGA-CV-7430-01,2,1.995498948
TCGA-ZC-AAAA-01,2,1.999812884
TCGA-LK-A4NZ-01,2,1.999820085
TCGA-BJ-A28W-01,2,2
TCGA-CZ-4854-01,2,2.076518727
TCGA-24-1103-01,2,1.848520814
TCGA-C5-A1MK-01,2,2
TCGA-D6-A4ZB-01,2,1.998930323
TCGA-BT-A20W-01,2,2.009003703
TCGA-FA-A7DS-01,2,1.999907011
TCGA-CV-7413-01,2,1.999636304
TCGA-CD-5798-01,2,2
TCGA-A8-A07G-01,2,2
TCGA-3U-A98J-01,2,2
TCGA-DJ-A1QL-01,2,2
TCGA-AC-A3HN-01,2,2
TCGA-CQ-5333-01,2,2
TCGA-36-2538-01,2,1.588177511
TCGA-27-1836-01,2,2
TCGA-C9-A480-01,2,2
TCGA-A2-A0YI-01,2,2
TCGA-CF-A9FH-01,2,2
TCGA-DD-AAEA-01,2,2
TCGA-49-AARR-01,2,2
TCGA-C8-A133-01,2,2
TCGA-B0-5106-01,2,2
TCGA-D3-A1QB-06,2,2
TCGA-AA-3819-01,2,2
TCGA-06-0171-02,2,2
TCGA-76-6664-01,2,2
TCGA-J8-A3YD-01,2,2
TCGA-4W-AA9T-01,2,2
TCGA-JW-AAVH-01,2,2
TCGA-CZ-5463-01,2,2
TCGA-EU-5907-01,2,2
TCGA-J9-A8CL-01,2,2.047376489
TCGA-QR-A6H2-01,2,2
TCGA-D1-A179-01,2,1.910618606
TCGA-DU-A6S6-01,2,2
TCGA-WE-A8K1-06,2,2.001875732
TCGA-CD-8536-01,2,2
TCGA-B0-4713-01,2,2
TCGA-CH-5762-01,2,2.000471222
TCGA-AX-A1CN-01,2,2
TCGA-A3-3385-01,2,2
TCGA-44-6146-01,2,2
TCGA-EX-A69M-01,2,2.001285447
TCGA-12-0819-01,2,2
